genome	domain	phylum	class	order	family	genus	species
EHA00169_bin.13	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Providencia	s__Providencia rettgeri
EHA00169_bin.14	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Morganella	s__Morganella morganii_B
EHA00169_bin.16	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__
EHA00169_bin.23	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Paraclostridium	s__Paraclostridium tenue
EHA00169_bin.26	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella huaxiensis
EHA00169_bin.27	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Commensalibacter	s__
EHA00169_bin.29	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Sarcina	s__Sarcina perfringens
EHA00169_bin.3	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_D	s__Enterococcus_D innesii
EHA00169_bin.30	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus haemoperoxidus
EHA00169_bin.31	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Entomomonas	s__Entomomonas moraniae
EHA00169_bin.33	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Entomomonas	s__
EHA00169_bin.34	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_A	s__Enterococcus_A alishanensis
EHA00169_bin.36	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rickettsiales	f__Rickettsiaceae	g__	s__
EHA00169_bin.39	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_A	s__Enterococcus_A sp017377655
EHA00169_bin.43	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium baratii
EHA00169_bin.44	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_B	s__Enterococcus_B pernyi
EHA00169_bin.45	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
EHA00169_bin.48	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Erwinia	s__Erwinia aphidicola
EHA00169_bin.53	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Morganella	s__
EHA00169_bin.6	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Kluyvera	s__Kluyvera intermedia
EHA00169_bin.8	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella oxytoca
EHA00176_bin.10	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Orbus	s__
EHA00176_bin.13	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Commensalibacter	s__
EHA00176_bin.14	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus rotai
EHA00176_bin.15	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rickettsiales	f__Anaplasmataceae	g__Wolbachia	s__Wolbachia sp001439985
EHA00176_bin.5	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Dysgonomonadaceae	g__Dysgonomonas	s__
EHA00176_bin.6	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia alvei
EHA00179_bin.1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia alvei
EHA00179_bin.3	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Erwinia	s__
EHA00183_bin.1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Apibacter	s__Apibacter raozihei
EHA00183_bin.2	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus sp002148425
EHA00183_bin.3	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia paralvei
EHA00183_bin.4	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Gemellaceae	g__	s__
EHA00183_bin.5	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Entomomonas	s__Entomomonas moraniae
EHA00183_bin.6	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Commensalibacter	s__Commensalibacter sp000527695
EHA00183_bin.8	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Orbus	s__
EHA00185_bin.1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Orbus	s__
EHA00187_bin.1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Erwinia	s__Erwinia rhapontici
EHA00187_bin.10	d__Bacteria	p__Bacillota	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__UBA710	s__
EHA00187_bin.15	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Rosenbergiella	s__
EHA00187_bin.16	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Serratia_J	s__Serratia_J plymuthica
EHA00187_bin.2	d__Bacteria	p__Bacillota	c__Bacilli	o__Mycoplasmatales	f__Nriv7	g__Nriv7	s__Nriv7 sp018831625
EHA00187_bin.21	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__RH-AL1	s__
EHA00187_bin.22	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Erwinia	s__Erwinia aphidicola
EHA00187_bin.24	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Commensalibacter	s__
EHA00187_bin.3	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Pantoea	s__Pantoea agglomerans
EHA00187_bin.4	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Serratia_A	s__Serratia_A fonticola
EHA00187_bin.5	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Psychromicrobium	s__
EHA00187_bin.8	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__GCA-918320885	g__GCA-918320885	s__
EHA00187_bin.9	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__
EHA00196_bin.10	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__
EHA00196_bin.2	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Leuconostoc	s__Leuconostoc suionicum
EHA00196_bin.5	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Tenebrionibacter	s__
EHA00196_bin.8	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Lonsdalea	s__Lonsdalea iberica
EHA00198_bin.3	d__Bacteria	p__Chlamydiota	c__Chlamydiia	o__Chlamydiales	f__Rhabdochlamydiaceae	g__Rhabdochlamydia	s__
EHA00198_bin.4	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Yersinia	s__Yersinia kristensenii
EHA00198_bin.5	d__Bacteria	p__Bacillota	c__Bacilli	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Ureaplasma	s__
EHA00201_bin.1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Providencia	s__Providencia rustigianii
EHA00201_bin.10	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Entomomonas	s__Entomomonas moraniae
EHA00201_bin.12	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
EHA00201_bin.16	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Serratia_J	s__Serratia_J proteamaculans_D
EHA00201_bin.2	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Orbus	s__
EHA00201_bin.4	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Diplorickettsiales	f__Diplorickettsiaceae	g__Aquirickettsiella	s__
EHA00201_bin.7	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Serratia_A	s__
EHA00206_bin.17	d__Bacteria	p__Bacillota	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__UBA710	s__
EHA00206_bin.18	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rickettsiales	f__Anaplasmataceae	g__Wolbachia	s__Wolbachia sp001439985
EHA00206_bin.3	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Dysgonomonadaceae	g__Dysgonomonas	s__
EHA00206_bin.9	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Pantoea	s__Pantoea agglomerans
EHA00211_bin.11	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Pasteurellaceae	g__Vespertiliibacter	s__
EHA00211_bin.12	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Gemellaceae	g__	s__
EHA00211_bin.13	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis
EHA00211_bin.2	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Carnobacterium	s__Carnobacterium maltaromaticum
EHA00211_bin.3	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia alvei
EHA00211_bin.4	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Serratia_A	s__Serratia_A fonticola
EHA00211_bin.7	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Serratia_J	s__Serratia_J liquefaciens
EHA00211_bin.8	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Leuconostoc	s__Leuconostoc pseudomesenteroides
EHA00216_bin.12	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Vagococcaceae	g__Vagococcus_E	s__Vagococcus_E entomophilus
EHA00216_bin.13	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Moellerella	s__Moellerella wisconsensis
EHA00216_bin.14	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Dysgonomonadaceae	g__Dysgonomonas	s__
EHA00216_bin.18	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Carnobacterium	s__Carnobacterium divergens
EHA00216_bin.23	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Fructilactobacillus	s__
EHA00216_bin.24	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Dysgonomonadaceae	g__Dysgonomonas	s__
EHA00216_bin.26	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__
EHA00216_bin.27	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus moraviensis
EHA00216_bin.30	d__Bacteria	p__Bacillota	c__Bacilli	o__Mycoplasmatales	f__Mycoplasmoidaceae	g__Mycoplasmoides	s__
EHA00216_bin.33	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium sp002013465
EHA00216_bin.5	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Pantoea	s__
EHA00216_bin.7	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Dysgonomonadaceae	g__Dysgonomonas	s__
EHA00216_bin.8	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Leuconostoc	s__Leuconostoc suionicum
EHA00460_bin.1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__CAZU01	s__
EHA00460_bin.11	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UBA3700	g__MGBC100798	s__
EHA00460_bin.12	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__CAZU01	s__
EHA00460_bin.13	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Pumilibacteraceae	g__Anaerocaecibacter	s__
EHA00460_bin.15	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Paraprevotella	s__
EHA00460_bin.16	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Paramuribaculum	s__
EHA00460_bin.19	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Paramuribaculum	s__
EHA00460_bin.2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__P3	g__Pullibacteroides	s__Pullibacteroides sp023662825
EHA00460_bin.20	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-917	g__CAG-475	s__
EHA00460_bin.21	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Marinifilaceae	g__Odoribacter	s__
EHA00460_bin.23	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Marseille-P3106	s__
EHA00460_bin.24	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-485	s__
EHA00460_bin.25	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Duncaniella	s__Duncaniella sp023665865
EHA00460_bin.26	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_G	s__Helicobacter_G cholecystus
EHA00460_bin.27	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-873	s__
EHA00460_bin.28	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UBA3700	g__MGBC100798	s__
EHA00460_bin.3	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__P3	g__Pullibacteroides	s__
EHA00460_bin.4	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-873	s__
EHA00460_bin.5	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Duncaniella	s__Duncaniella sp910589485
EHA00460_bin.6	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-314	g__Fimimonas	s__
EHA00460_bin.7	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Paramuribaculum	s__
EHA00460_bin.9	d__Bacteria	p__Bacillota	c__Bacilli	o__Acholeplasmatales	f__Anaeroplasmataceae	g__Pelethenecus	s__
EHA00461_bin.1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Paramuribaculum	s__
EHA00461_bin.10	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA3282	s__
EHA00461_bin.12	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Paramuribaculum	s__
EHA00461_bin.14	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-873	s__
EHA00461_bin.15	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__CAZU01	s__
EHA00461_bin.2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides goldsteinii
EHA00461_bin.3	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__
EHA00461_bin.6	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__COE1	s__
EHA00461_bin.7	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__RGIG3040	s__
EHA00461_bin.8	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__
EHA00462_bin.1	d__Bacteria	p__Deferribacterota	c__Deferribacteres	o__Deferribacterales	f__Mucispirillaceae	g__Mucispirillum	s__
EHA00462_bin.4	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA3282	s__
EHA00462_bin.5	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__COE1	s__
EHA00462_bin.6	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__RGIG8773	s__
EHA00462_bin.7	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__
EHA00463_bin.10	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__
EHA00463_bin.11	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__
EHA00463_bin.14	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Choladocola	s__
EHA00463_bin.15	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__
EHA00463_bin.16	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__
EHA00463_bin.17	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Pelethomonas	s__
EHA00463_bin.18	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__MGBC100174	s__
EHA00463_bin.19	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes senegalensis_A
EHA00463_bin.2	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__
EHA00463_bin.20	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__UBA4372	s__
EHA00463_bin.21	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rickettsiales	f__UBA1997	g__CALXSC01	s__
EHA00463_bin.22	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__
EHA00463_bin.23	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__UBA7173	s__
EHA00463_bin.24	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_J	s__
EHA00463_bin.3	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Dysosmobacter	s__
EHA00463_bin.4	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__COE1	s__
EHA00463_bin.6	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__
EHA00463_bin.7	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA3282	s__
EHA00463_bin.9	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminiclostridium_E	s__
EHA00464_bin.1	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__
EHA00464_bin.3	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__
EHA00464_bin.4	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__P3	g__Pullibacteroides	s__Pullibacteroides sp023662825
EHA00464_bin.5	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__
EHA00464_bin.6	d__Bacteria	p__Chlamydiota	c__Chlamydiia	o__Chlamydiales	f__Rhabdochlamydiaceae	g__Rhabdochlamydia	s__
EHA00464_bin.7	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Borkfalkiaceae	g__Gallimonas	s__
EHA00464_bin.8	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Enterenecus	s__
EHA00464_bin.9	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__COE1	s__
EHA00465_bin.1	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Pelethomonas	s__
EHA00465_bin.10	d__Bacteria	p__Bacillota	c__Bacilli	o__Acholeplasmatales	f__Anaeroplasmataceae	g__Pelethenecus	s__
EHA00465_bin.11	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Enterenecus	s__
EHA00465_bin.14	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__
EHA00465_bin.15	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Rikenella	s__
EHA00465_bin.3	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__
EHA00465_bin.4	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Marinifilaceae	g__Odoribacter	s__Odoribacter sp910588375
EHA00465_bin.5	d__Bacteria	p__Deferribacterota	c__Deferribacteres	o__Deferribacterales	f__Mucispirillaceae	g__Mucispirillum	s__
EHA00465_bin.7	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA3282	s__
EHA00465_bin.8	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Marinifilaceae	g__Odoribacter	s__
EHA00465_bin.9	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Borkfalkiaceae	g__Coproplasma	s__
EHA00466_bin.10	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__COE1	s__
EHA00466_bin.11	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__
EHA00466_bin.12	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__
EHA00466_bin.13	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__MGBC114844	s__
EHA00466_bin.2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__
EHA00466_bin.3	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyribacter	s__
EHA00466_bin.5	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__CAG-115	s__
EHA00466_bin.6	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__NHYN01	s__
EHA00466_bin.7	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Enterenecus	s__
EHA00466_bin.9	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__RUG11867	s__
EHA00467_bin.1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-873	s__
EHA00467_bin.10	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-873	s__
EHA00467_bin.12	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__
EHA00467_bin.15	d__Bacteria	p__Bacillota_B	c__Dehalobacteriia	o__UBA4068	f__UBA5755	g__Avidehalobacter	s__
EHA00467_bin.16	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Paramuribaculum	s__
EHA00467_bin.17	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Dysosmobacter	s__
EHA00467_bin.18	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Paramuribaculum	s__
EHA00467_bin.19	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-873	s__
