genome	host_species	cluster	family	genus
EHA00463_bin.22	Peromyscus_maniculatus	1029	f__Rikenellaceae	g__Alistipes
EHA00551_bin.3	Psittacula_echo	3284	f__Enterobacteriaceae	g__Citrobacter_A
EHA01190_bin.18	Psittacula_echo	3280	f__Enterobacteriaceae	g__Morganella
EHA01190_bin.16	Psittacula_echo	3285	f__Enterobacteriaceae	g__Pantoea
EHA01190_bin.23	Psittacula_echo	3274	f__Enterobacteriaceae	g__Serratia
EHA00535_bin.19	Strix_aluco	5612	f__Lachnospiraceae	g__Acetatifactor
EHA00531_bin.10	Strix_aluco	499	f__Akkermansiaceae	g__Akkermansia
EHA00539_bin.21	Strix_aluco	6699	f__Erysipelotrichaceae	g__Amedibacterium
EHA00536_bin.9	Strix_aluco	1146	f__Bacteroidaceae	g__Bacteroides
EHA00531_bin.7	Strix_aluco	3547	f__Desulfovibrionaceae	g__Bilophila
EHA00535_bin.3	Strix_aluco	5610	f__Lachnospiraceae	g__CAG-95
EHA00531_bin.2	Strix_aluco	5641	f__Lachnospiraceae	g__Clostridium_Q
EHA00539_bin.12	Strix_aluco	5641	f__Lachnospiraceae	g__Clostridium_Q
EHA00536_bin.28	Strix_aluco	5639	f__Lachnospiraceae	g__Enterocloster
EHA00536_bin.10	Strix_aluco	6902	f__Enterococcaceae	g__Enterococcus
EHA00529_bin.3	Strix_aluco	3284	f__Enterobacteriaceae	g__Escherichia
EHA00536_bin.1	Strix_aluco	3284	f__Enterobacteriaceae	g__Escherichia
EHA00528_bin.19	Strix_aluco	3284	f__Enterobacteriaceae	g__Escherichia
EHA00539_bin.1	Strix_aluco	1154	f__Bacteroidaceae	g__Mediterranea
EHA00531_bin.1	Strix_aluco	1159	f__Tannerellaceae	g__Parabacteroides
EHA00531_bin.6	Strix_aluco	1159	f__Tannerellaceae	g__Parabacteroides
EHA00539_bin.2	Strix_aluco	1159	f__Tannerellaceae	g__Parabacteroides
EHA00539_bin.6	Strix_aluco	1159	f__Tannerellaceae	g__Parabacteroides
EHA00536_bin.20	Strix_aluco	1159	f__Tannerellaceae	g__Parabacteroides
EHA00536_bin.3	Strix_aluco	1159	f__Tannerellaceae	g__Parabacteroides
EHA00535_bin.6	Strix_aluco	1159	f__Tannerellaceae	g__Parabacteroides
EHA00531_bin.8	Strix_aluco	1141	f__Bacteroidaceae	g__Phocaeicola
EHA00539_bin.18	Strix_aluco	1141	f__Bacteroidaceae	g__Phocaeicola
EHA00536_bin.18	Strix_aluco	1141	f__Bacteroidaceae	g__Phocaeicola
EHA00539_bin.14	Strix_aluco	7049	f__Gastranaerophilaceae	g__Stercorousia
EHA00539_bin.22	Strix_aluco	1019	f__Rikenellaceae	g__Tidjanibacter
EHA01202_bin.13	Strix_aluco	5621	f__Lachnospiraceae	g__Acetatifactor
EHA01202_bin.10	Strix_aluco	1146	f__Bacteroidaceae	g__Bacteroides
EHA01202_bin.30	Strix_aluco	1146	f__Bacteroidaceae	g__Bacteroides
EHA01202_bin.144	Strix_aluco	5537	f__Lachnospiraceae	g__Blautia
EHA01202_bin.55	Strix_aluco	5127	f__Ruminococcaceae	g__CAG-115
EHA01202_bin.152	Strix_aluco	4906	f__Oscillospiraceae	g__Enterenecus
EHA01202_bin.103	Strix_aluco	3894	f__Fusobacteriaceae	g__Fusobacterium_A
EHA01202_bin.26	Strix_aluco	1159	f__Tannerellaceae	g__Parabacteroides
EHA01202_bin.130	Strix_aluco	1141	f__Bacteroidaceae	g__Phocaeicola
EHA01202_bin.81	Strix_aluco	1141	f__Bacteroidaceae	g__Phocaeicola
EHA01202_bin.124	Strix_aluco	3280	f__Enterobacteriaceae	g__Proteus
EHA01202_bin.96	Strix_aluco	7049	f__Gastranaerophilaceae	g__Stercorousia
EHA01202_bin.84	Strix_aluco	53	f__Treponemataceae	g__Treponema_D
EHA01202_bin.85	Strix_aluco	5599	f__Lachnospiraceae	g__UBA3282
EHA00563_bin.9	Podarcis_pityusensis	5524	f__Lachnospiraceae	g__Merdenecus
EHA01514_bin.114	Podarcis_muralis	6697	f__Erysipelotrichaceae	g__
EHA01514_bin.137	Podarcis_muralis	5633	f__Lachnospiraceae	g__
EHA01514_bin.147	Podarcis_muralis	5612	f__Lachnospiraceae	g__Acetatifactor
EHA01514_bin.131	Podarcis_muralis	499	f__Akkermansiaceae	g__Akkermansia
EHA01514_bin.130	Podarcis_muralis	1029	f__Rikenellaceae	g__Alistipes
EHA01514_bin.133	Podarcis_muralis	1029	f__Rikenellaceae	g__Alistipes
EHA01514_bin.66	Podarcis_muralis	1029	f__Rikenellaceae	g__Alistipes
EHA01514_bin.91	Podarcis_muralis	1029	f__Rikenellaceae	g__Alistipes
EHA01514_bin.112	Podarcis_muralis	6699	f__Erysipelotrichaceae	g__Amedibacillus
EHA01514_bin.26	Podarcis_muralis	5092	f__Ruminococcaceae	g__Anaerotruncus
EHA01514_bin.115	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01514_bin.51	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01514_bin.8	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01514_bin.95	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01514_bin.76	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01514_bin.57	Podarcis_muralis	6694	f__Erysipelotrichaceae	g__Breznakia
EHA01514_bin.97	Podarcis_muralis	3284	f__Enterobacteriaceae	g__Buttiauxella
EHA01514_bin.126	Podarcis_muralis	6697	f__Erysipelotrichaceae	g__C-19
EHA01514_bin.111	Podarcis_muralis	2079	f__CAG-239	g__CAJLXD01
EHA01514_bin.58	Podarcis_muralis	7049	f__Gastranaerophilaceae	g__CALURL01
EHA01514_bin.84	Podarcis_muralis	2077	f__CAG-239	g__CAZU01
EHA01514_bin.9	Podarcis_muralis	2077	f__CAG-239	g__CAZU01
EHA01514_bin.116	Podarcis_muralis	5636	f__Lachnospiraceae	g__CHH4-2
EHA01514_bin.122	Podarcis_muralis	6708	f__Erysipelotrichaceae	g__Dielma
EHA01514_bin.98	Podarcis_muralis	4918	f__Oscillospiraceae	g__Dysosmobacter
EHA01514_bin.140	Podarcis_muralis	5639	f__Lachnospiraceae	g__Enterocloster
EHA01514_bin.61	Podarcis_muralis	5104	f__Ruminococcaceae	g__Fimivivens
EHA01514_bin.40	Podarcis_muralis	5073	f__Ruminococcaceae	g__Fournierella
EHA01514_bin.45	Podarcis_muralis	5073	f__Ruminococcaceae	g__Fournierella
EHA01514_bin.141	Podarcis_muralis	1965	f__Helicobacteraceae	g__Helicobacter_J
EHA01514_bin.121	Podarcis_muralis	5635	f__Lachnospiraceae	g__Hungatella
EHA01514_bin.145	Podarcis_muralis	6205	f__Anaerovoracaceae	g__IOR16
EHA01514_bin.41	Podarcis_muralis	5536	f__Lachnospiraceae	g__JALFVM01
EHA01514_bin.11	Podarcis_muralis	7066	f__Gastranaerophilaceae	g__Limenecus
EHA01514_bin.6	Podarcis_muralis	3538	f__Desulfovibrionaceae	g__Mailhella
EHA01514_bin.42	Podarcis_muralis	5119	f__Ruminococcaceae	g__Negativibacillus
EHA01514_bin.99	Podarcis_muralis	5119	f__Ruminococcaceae	g__Negativibacillus
EHA01514_bin.85	Podarcis_muralis	6699	f__Erysipelotrichaceae	g__NSJ-61
EHA01514_bin.144	Podarcis_muralis	908	f__Marinifilaceae	g__Odoribacter
EHA01514_bin.149	Podarcis_muralis	908	f__Marinifilaceae	g__Odoribacter
EHA01514_bin.69	Podarcis_muralis	1159	f__Tannerellaceae	g__Parabacteroides
EHA01514_bin.71	Podarcis_muralis	1159	f__Tannerellaceae	g__Parabacteroides
EHA01514_bin.33	Podarcis_muralis	1159	f__Tannerellaceae	g__Parabacteroides
EHA01514_bin.125	Podarcis_muralis	6379	f__Peptococcaceae	g__RGIG6463
EHA01514_bin.92	Podarcis_muralis	1005	f__Rikenellaceae	g__Rikenella
EHA01514_bin.127	Podarcis_muralis	7047	f__Gastranaerophilaceae	g__Scatousia
EHA01514_bin.87	Podarcis_muralis	6683	f__Coprobacillaceae	g__Stoquefichus
EHA01500_bin.59	Podarcis_muralis	1965	f__Helicobacteraceae	g__Helicobacter_J
EHA01500_bin.2	Podarcis_muralis	6697	f__Erysipelotrichaceae	g__
EHA01500_bin.4	Podarcis_muralis	5636	f__Lachnospiraceae	g__
EHA01500_bin.41	Podarcis_muralis	5633	f__Lachnospiraceae	g__
EHA01500_bin.18	Podarcis_muralis	1029	f__Rikenellaceae	g__Alistipes
EHA01500_bin.35	Podarcis_muralis	1029	f__Rikenellaceae	g__Alistipes
EHA01500_bin.31	Podarcis_muralis	5092	f__Ruminococcaceae	g__Anaerotruncus
EHA01500_bin.15	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01500_bin.30	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01500_bin.33	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01500_bin.38	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01500_bin.71	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01500_bin.73	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01500_bin.77	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01500_bin.26	Podarcis_muralis	3547	f__Desulfovibrionaceae	g__Bilophila
EHA01500_bin.23	Podarcis_muralis	6694	f__Erysipelotrichaceae	g__Breznakia
EHA01500_bin.5	Podarcis_muralis	6697	f__Erysipelotrichaceae	g__C-19
EHA01500_bin.42	Podarcis_muralis	7049	f__Gastranaerophilaceae	g__CALURL01
EHA01500_bin.39	Podarcis_muralis	2077	f__CAG-239	g__CAZU01
EHA01500_bin.13	Podarcis_muralis	6708	f__Erysipelotrichaceae	g__Dielma
EHA01500_bin.56	Podarcis_muralis	5639	f__Lachnospiraceae	g__Enterocloster
EHA01500_bin.85	Podarcis_muralis	3284	f__Enterobacteriaceae	g__Escherichia
EHA01500_bin.9	Podarcis_muralis	5512	f__Lachnospiraceae	g__Extibacter
EHA01500_bin.22	Podarcis_muralis	3894	f__Fusobacteriaceae	g__Fusobacterium_A
EHA01500_bin.76	Podarcis_muralis	4904	f__Oscillospiraceae	g__Intestinimonas
EHA01500_bin.78	Podarcis_muralis	5524	f__Lachnospiraceae	g__Lachnotalea
EHA01500_bin.58	Podarcis_muralis	3538	f__Desulfovibrionaceae	g__Mailhella
EHA01500_bin.79	Podarcis_muralis	5119	f__Ruminococcaceae	g__Negativibacillus
EHA01500_bin.14	Podarcis_muralis	908	f__Marinifilaceae	g__Odoribacter
EHA01500_bin.86	Podarcis_muralis	907	f__Marinifilaceae	g__Odoribacter
EHA01500_bin.75	Podarcis_muralis	1159	f__Tannerellaceae	g__Parabacteroides
EHA01500_bin.11	Podarcis_muralis	5602	f__Lachnospiraceae	g__RGIG4733
EHA01500_bin.66	Podarcis_muralis	1005	f__Rikenellaceae	g__Rikenella
EHA01500_bin.32	Podarcis_muralis	5576	f__Lachnospiraceae	g__Roseburia
EHA01500_bin.40	Podarcis_muralis	5716	f__Lachnospiraceae	g__Velocimicrobium
EHA01507_bin.15	Podarcis_muralis	5633	f__Lachnospiraceae	g__
EHA01507_bin.30	Podarcis_muralis	6697	f__Erysipelotrichaceae	g__
EHA01507_bin.48	Podarcis_muralis	1029	f__Rikenellaceae	g__Alistipes
EHA01507_bin.11	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01507_bin.63	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01507_bin.65	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01507_bin.70	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01507_bin.71	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01507_bin.106	Podarcis_muralis	6697	f__Erysipelotrichaceae	g__C-19
EHA01507_bin.50	Podarcis_muralis	6697	f__Erysipelotrichaceae	g__C-19
EHA01507_bin.104	Podarcis_muralis	2079	f__CAG-239	g__CAJLXD01
EHA01507_bin.81	Podarcis_muralis	5636	f__Lachnospiraceae	g__CHH4-2
EHA01507_bin.108	Podarcis_muralis	6708	f__Erysipelotrichaceae	g__Dielma
EHA01507_bin.23	Podarcis_muralis	5605	f__Lachnospiraceae	g__Eisenbergiella
EHA01507_bin.42	Podarcis_muralis	5635	f__Lachnospiraceae	g__Hungatella
EHA01507_bin.73	Podarcis_muralis	6205	f__Anaerovoracaceae	g__IOR16
EHA01507_bin.57	Podarcis_muralis	5448	f__Anaerotignaceae	g__JAAYQI01
EHA01507_bin.83	Podarcis_muralis	5448	f__Anaerotignaceae	g__JAAYQI01
EHA01507_bin.103	Podarcis_muralis	4897	f__Oscillospiraceae	g__Lawsonibacter
EHA01507_bin.94	Podarcis_muralis	3538	f__Desulfovibrionaceae	g__Mailhella
EHA01507_bin.64	Podarcis_muralis	5725	f__Lachnospiraceae	g__MGBC140009
EHA01507_bin.43	Podarcis_muralis	5518	f__Lachnospiraceae	g__Muricomes
EHA01507_bin.24	Podarcis_muralis	5119	f__Ruminococcaceae	g__Negativibacillus
EHA01507_bin.32	Podarcis_muralis	908	f__Marinifilaceae	g__Odoribacter
EHA01507_bin.29	Podarcis_muralis	1159	f__Tannerellaceae	g__Parabacteroides
EHA01507_bin.38	Podarcis_muralis	1159	f__Tannerellaceae	g__Parabacteroides
EHA01507_bin.5	Podarcis_muralis	1159	f__Tannerellaceae	g__Parabacteroides
EHA01507_bin.68	Podarcis_muralis	1005	f__Rikenellaceae	g__Rikenella
EHA01507_bin.58	Podarcis_muralis	5515	f__Lachnospiraceae	g__UMGS1251
EHA01521_bin.102	Podarcis_muralis	1029	f__Rikenellaceae	g__Alistipes
EHA01521_bin.58	Podarcis_muralis	1029	f__Rikenellaceae	g__Alistipes
EHA01521_bin.83	Podarcis_muralis	5092	f__Ruminococcaceae	g__Anaerotruncus
EHA01521_bin.112	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01521_bin.131	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01521_bin.41	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01521_bin.89	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01521_bin.129	Podarcis_muralis	3547	f__Desulfovibrionaceae	g__Bilophila
EHA01521_bin.44	Podarcis_muralis	6697	f__Erysipelotrichaceae	g__C-19
EHA01521_bin.65	Podarcis_muralis	2077	f__CAG-239	g__CAZU01
EHA01521_bin.7	Podarcis_muralis	5636	f__Lachnospiraceae	g__CHH4-2
EHA01521_bin.25	Podarcis_muralis	5641	f__Lachnospiraceae	g__Clostridium_Q
EHA01521_bin.82	Podarcis_muralis	5641	f__Lachnospiraceae	g__Clostridium_Q
EHA01521_bin.114	Podarcis_muralis	5639	f__Lachnospiraceae	g__Enterocloster
EHA01521_bin.16	Podarcis_muralis	5639	f__Lachnospiraceae	g__Enterocloster
EHA01521_bin.78	Podarcis_muralis	5639	f__Lachnospiraceae	g__Enterocloster
EHA01521_bin.2	Podarcis_muralis	5104	f__Ruminococcaceae	g__Fimivivens
EHA01521_bin.3	Podarcis_muralis	5518	f__Lachnospiraceae	g__Hespellia
EHA01521_bin.37	Podarcis_muralis	4904	f__Oscillospiraceae	g__Intestinimonas
EHA01521_bin.15	Podarcis_muralis	5448	f__Anaerotignaceae	g__JAAYQI01
EHA01521_bin.61	Podarcis_muralis	5448	f__Anaerotignaceae	g__JAAYQI01
EHA01521_bin.38	Podarcis_muralis	3538	f__Desulfovibrionaceae	g__Mailhella
EHA01521_bin.107	Podarcis_muralis	5518	f__Lachnospiraceae	g__Muricomes
EHA01521_bin.13	Podarcis_muralis	5119	f__Ruminococcaceae	g__Negativibacillus
EHA01521_bin.120	Podarcis_muralis	907	f__Marinifilaceae	g__Odoribacter
EHA01521_bin.39	Podarcis_muralis	908	f__Marinifilaceae	g__Odoribacter
EHA01521_bin.86	Podarcis_muralis	908	f__Marinifilaceae	g__Odoribacter
EHA01521_bin.34	Podarcis_muralis	1005	f__Rikenellaceae	g__Rikenella
EHA01521_bin.96	Podarcis_muralis	5576	f__Lachnospiraceae	g__Roseburia
EHA01527_bin.110	Podarcis_muralis	5633	f__Lachnospiraceae	g__
EHA01527_bin.119	Podarcis_muralis	6697	f__Erysipelotrichaceae	g__
EHA01527_bin.83	Podarcis_muralis	5612	f__Lachnospiraceae	g__Acetatifactor
EHA01527_bin.77	Podarcis_muralis	499	f__Akkermansiaceae	g__Akkermansia
EHA01527_bin.88	Podarcis_muralis	499	f__Akkermansiaceae	g__Akkermansia
EHA01527_bin.55	Podarcis_muralis	1029	f__Rikenellaceae	g__Alistipes
EHA01527_bin.62	Podarcis_muralis	1029	f__Rikenellaceae	g__Alistipes
EHA01527_bin.117	Podarcis_muralis	5092	f__Ruminococcaceae	g__Anaerotruncus
EHA01527_bin.40	Podarcis_muralis	5092	f__Ruminococcaceae	g__Anaerotruncus
EHA01527_bin.58	Podarcis_muralis	5092	f__Ruminococcaceae	g__Anaerotruncus
EHA01527_bin.7	Podarcis_muralis	5092	f__Ruminococcaceae	g__Anaerotruncus
EHA01527_bin.106	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01527_bin.13	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01527_bin.56	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01527_bin.99	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01527_bin.8	Podarcis_muralis	6697	f__Erysipelotrichaceae	g__C-19
EHA01527_bin.66	Podarcis_muralis	7049	f__Gastranaerophilaceae	g__CALURL01
EHA01527_bin.131	Podarcis_muralis	5636	f__Lachnospiraceae	g__CHH4-2
EHA01527_bin.29	Podarcis_muralis	5641	f__Lachnospiraceae	g__Clostridium_Q
EHA01527_bin.54	Podarcis_muralis	4918	f__Oscillospiraceae	g__Dysosmobacter
EHA01527_bin.28	Podarcis_muralis	5639	f__Lachnospiraceae	g__Enterocloster
EHA01527_bin.45	Podarcis_muralis	3274	f__Enterobacteriaceae	g__Hafnia
EHA01527_bin.84	Podarcis_muralis	5635	f__Lachnospiraceae	g__Hungatella
EHA01527_bin.132	Podarcis_muralis	4903	f__Oscillospiraceae	g__JAAWBF01
EHA01527_bin.69	Podarcis_muralis	5448	f__Anaerotignaceae	g__JAAYQI01
EHA01527_bin.47	Podarcis_muralis	5536	f__Lachnospiraceae	g__JALFVM01
EHA01527_bin.1	Podarcis_muralis	3538	f__Desulfovibrionaceae	g__Mailhella
EHA01527_bin.114	Podarcis_muralis	5518	f__Lachnospiraceae	g__Muricomes
EHA01527_bin.115	Podarcis_muralis	5119	f__Ruminococcaceae	g__Negativibacillus
EHA01527_bin.86	Podarcis_muralis	5119	f__Ruminococcaceae	g__Negativibacillus
EHA01527_bin.16	Podarcis_muralis	908	f__Marinifilaceae	g__Odoribacter
EHA01527_bin.31	Podarcis_muralis	908	f__Marinifilaceae	g__Odoribacter
EHA01527_bin.11	Podarcis_muralis	1159	f__Tannerellaceae	g__Parabacteroides
EHA01527_bin.113	Podarcis_muralis	1159	f__Tannerellaceae	g__Parabacteroides
EHA01527_bin.136	Podarcis_muralis	1159	f__Tannerellaceae	g__Parabacteroides
EHA01527_bin.118	Podarcis_muralis	4902	f__Oscillospiraceae	g__Pseudoflavonifractor
EHA01527_bin.122	Podarcis_muralis	1005	f__Rikenellaceae	g__Rikenella
EHA01527_bin.112	Podarcis_muralis	3284	f__Enterobacteriaceae	g__Scandinavium
EHA01527_bin.137	Podarcis_muralis	6683	f__Coprobacillaceae	g__Stoquefichus
EHA01527_bin.50	Podarcis_muralis	4903	f__Oscillospiraceae	g__UMGS1202
EHA01527_bin.128	Podarcis_muralis	5515	f__Lachnospiraceae	g__UMGS1251
EHA01527_bin.104	Podarcis_muralis	5633	f__Lachnospiraceae	g__Ventrimonas
EHA01527_bin.14	Podarcis_muralis	5640	f__Lachnospiraceae	g__Ventrisoma
EHA01533_bin.37	Podarcis_muralis	5092	f__Ruminococcaceae	g__Anaerotruncus
EHA01533_bin.41	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01533_bin.5	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01533_bin.50	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01533_bin.84	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01533_bin.23	Podarcis_muralis	3547	f__Desulfovibrionaceae	g__Bilophila
EHA01533_bin.55	Podarcis_muralis	3284	f__Enterobacteriaceae	g__Buttiauxella
EHA01533_bin.17	Podarcis_muralis	5636	f__Lachnospiraceae	g__CHH4-2
EHA01533_bin.22	Podarcis_muralis	6699	f__Erysipelotrichaceae	g__Clostridium_AQ
EHA01533_bin.72	Podarcis_muralis	5642	f__Lachnospiraceae	g__Copromonas
EHA01533_bin.45	Podarcis_muralis	6708	f__Erysipelotrichaceae	g__Dielma
EHA01533_bin.71	Podarcis_muralis	3894	f__Fusobacteriaceae	g__Fusobacterium_A
EHA01533_bin.82	Podarcis_muralis	4904	f__Oscillospiraceae	g__Intestinimonas
EHA01533_bin.6	Podarcis_muralis	5536	f__Lachnospiraceae	g__JALFVM01
EHA01533_bin.74	Podarcis_muralis	5635	f__Lachnospiraceae	g__Lacrimispora
EHA01533_bin.1	Podarcis_muralis	5119	f__Ruminococcaceae	g__Negativibacillus
EHA01533_bin.40	Podarcis_muralis	908	f__Marinifilaceae	g__Odoribacter
EHA01533_bin.31	Podarcis_muralis	4920	f__Oscillospiraceae	g__Oscillibacter
EHA01533_bin.39	Podarcis_muralis	1159	f__Tannerellaceae	g__Parabacteroides
EHA01533_bin.7	Podarcis_muralis	1159	f__Tannerellaceae	g__Parabacteroides
EHA01539_bin.107	Podarcis_muralis	5636	f__Lachnospiraceae	g__
EHA01539_bin.12	Podarcis_muralis	5633	f__Lachnospiraceae	g__
EHA01539_bin.25	Podarcis_muralis	5441	f__Anaerotignaceae	g__
EHA01539_bin.102	Podarcis_muralis	6335	f__	g__
EHA01539_bin.36	Podarcis_muralis	1029	f__Rikenellaceae	g__Alistipes
EHA01539_bin.76	Podarcis_muralis	5092	f__Ruminococcaceae	g__Anaerotruncus
EHA01539_bin.106	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01539_bin.39	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01539_bin.50	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01539_bin.65	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01539_bin.51	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01539_bin.90	Podarcis_muralis	6697	f__Erysipelotrichaceae	g__C-19
EHA01539_bin.55	Podarcis_muralis	3284	f__Enterobacteriaceae	g__Citrobacter
EHA01539_bin.22	Podarcis_muralis	5641	f__Lachnospiraceae	g__Clostridium_Q
EHA01539_bin.77	Podarcis_muralis	3553	f__Desulfovibrionaceae	g__Desulfovibrio
EHA01539_bin.10	Podarcis_muralis	6708	f__Erysipelotrichaceae	g__Dielma
EHA01539_bin.62	Podarcis_muralis	5605	f__Lachnospiraceae	g__Eisenbergiella
EHA01539_bin.72	Podarcis_muralis	5639	f__Lachnospiraceae	g__Enterocloster
EHA01539_bin.88	Podarcis_muralis	5639	f__Lachnospiraceae	g__Enterocloster
EHA01539_bin.3	Podarcis_muralis	3284	f__Enterobacteriaceae	g__Escherichia
EHA01539_bin.70	Podarcis_muralis	3284	f__Enterobacteriaceae	g__Escherichia
EHA01539_bin.53	Podarcis_muralis	3274	f__Enterobacteriaceae	g__Hafnia
EHA01539_bin.84	Podarcis_muralis	5635	f__Lachnospiraceae	g__Hungatella
EHA01539_bin.100	Podarcis_muralis	5636	f__Lachnospiraceae	g__Hungatella_A
EHA01539_bin.54	Podarcis_muralis	4904	f__Oscillospiraceae	g__Intestinimonas
EHA01539_bin.33	Podarcis_muralis	5448	f__Anaerotignaceae	g__JAAYQI01
EHA01539_bin.37	Podarcis_muralis	3280	f__Enterobacteriaceae	g__Morganella
EHA01539_bin.34	Podarcis_muralis	5119	f__Ruminococcaceae	g__Negativibacillus
EHA01539_bin.91	Podarcis_muralis	908	f__Marinifilaceae	g__Odoribacter
EHA01539_bin.31	Podarcis_muralis	1159	f__Tannerellaceae	g__Parabacteroides
EHA01539_bin.9	Podarcis_muralis	1159	f__Tannerellaceae	g__Parabacteroides
EHA01539_bin.98	Podarcis_muralis	1159	f__Tannerellaceae	g__Parabacteroides
EHA01539_bin.81	Podarcis_muralis	1005	f__Rikenellaceae	g__Rikenella
EHA01539_bin.38	Podarcis_muralis	3284	f__Enterobacteriaceae	g__Scandinavium
EHA01539_bin.8	Podarcis_muralis	4903	f__Oscillospiraceae	g__UMGS1202
EHA01546_bin.11	Podarcis_muralis	5636	f__Lachnospiraceae	g__
EHA01546_bin.9	Podarcis_muralis	6697	f__Erysipelotrichaceae	g__
EHA01546_bin.43	Podarcis_muralis	6699	f__Erysipelotrichaceae	g__Amedibacillus
EHA01546_bin.10	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01546_bin.14	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01546_bin.23	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01546_bin.46	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01546_bin.47	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01546_bin.53	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01546_bin.42	Podarcis_muralis	5641	f__Lachnospiraceae	g__Clostridium_Q
EHA01546_bin.3	Podarcis_muralis	5642	f__Lachnospiraceae	g__Copromonas
EHA01546_bin.12	Podarcis_muralis	6708	f__Erysipelotrichaceae	g__Dielma
EHA01546_bin.28	Podarcis_muralis	5639	f__Lachnospiraceae	g__Enterocloster
EHA01546_bin.21	Podarcis_muralis	3274	f__Enterobacteriaceae	g__Hafnia
EHA01546_bin.24	Podarcis_muralis	5635	f__Lachnospiraceae	g__Hungatella
EHA01546_bin.20	Podarcis_muralis	5536	f__Lachnospiraceae	g__JALFVM01
EHA01546_bin.8	Podarcis_muralis	5119	f__Ruminococcaceae	g__Negativibacillus
EHA01546_bin.32	Podarcis_muralis	1159	f__Tannerellaceae	g__Parabacteroides
EHA01546_bin.48	Podarcis_muralis	1159	f__Tannerellaceae	g__Parabacteroides
EHA01546_bin.2	Podarcis_muralis	6683	f__Coprobacillaceae	g__Stoquefichus
EHA01546_bin.44	Podarcis_muralis	5515	f__Lachnospiraceae	g__UMGS1251
EHA01546_bin.25	Podarcis_muralis	5716	f__Lachnospiraceae	g__Velocimicrobium
EHA01550_bin.29	Podarcis_muralis	6697	f__Erysipelotrichaceae	g__
EHA01550_bin.50	Podarcis_muralis	5633	f__Lachnospiraceae	g__
EHA01550_bin.70	Podarcis_muralis	6335	f__	g__
EHA01550_bin.14	Podarcis_muralis	1029	f__Rikenellaceae	g__Alistipes
EHA01550_bin.71	Podarcis_muralis	5092	f__Ruminococcaceae	g__Anaerotruncus
EHA01550_bin.13	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01550_bin.19	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
EHA01550_bin.58	Podarcis_muralis	1146	f__Bacteroidaceae	g__Bacteroides
